57    Q0   CACM-3077    1 143.306159   Tf_idf_SE
57    Q0   CACM-3140    2  41.069236   Tf_idf_SE
57    Q0   CACM-1705    3  37.344758   Tf_idf_SE
57    Q0   CACM-2802    4  31.866636   Tf_idf_SE
57    Q0   CACM-1469    5  29.781179   Tf_idf_SE
57    Q0   CACM-2470    6  29.766888   Tf_idf_SE
57    Q0   CACM-2931    7  29.358900   Tf_idf_SE
57    Q0   CACM-2113    8  28.703852   Tf_idf_SE
57    Q0   CACM-1470    9  27.971713   Tf_idf_SE
57    Q0   CACM-2705   10  26.986440   Tf_idf_SE
57    Q0   CACM-2876   11  26.791023   Tf_idf_SE
57    Q0   CACM-2922   12  26.214827   Tf_idf_SE
57    Q0   CACM-0616   13  26.018892   Tf_idf_SE
57    Q0   CACM-2981   14  26.007519   Tf_idf_SE
57    Q0   CACM-2864   15  25.728201   Tf_idf_SE
57    Q0   CACM-1155   16  25.668887   Tf_idf_SE
57    Q0   CACM-2700   17  25.522120   Tf_idf_SE
57    Q0   CACM-2060   18  25.351471   Tf_idf_SE
57    Q0   CACM-2181   19  25.269357   Tf_idf_SE
57    Q0   CACM-2219   20  24.893825   Tf_idf_SE
57    Q0   CACM-2645   21  24.882465   Tf_idf_SE
57    Q0   CACM-1856   22  24.593221   Tf_idf_SE
57    Q0   CACM-0796   23  24.542459   Tf_idf_SE
57    Q0   CACM-1771   24  24.429712   Tf_idf_SE
57    Q0   CACM-3078   25  24.183466   Tf_idf_SE
57    Q0   CACM-1834   26  23.968271   Tf_idf_SE
57    Q0   CACM-2020   27  23.799851   Tf_idf_SE
57    Q0   CACM-1764   28  23.510795   Tf_idf_SE
57    Q0   CACM-2886   29  23.494274   Tf_idf_SE
57    Q0   CACM-2850   30  23.294494   Tf_idf_SE
57    Q0   CACM-3154   31  23.136857   Tf_idf_SE
57    Q0   CACM-2943   32  23.098051   Tf_idf_SE
57    Q0   CACM-1350   33  23.087596   Tf_idf_SE
57    Q0   CACM-1700   34  23.031715   Tf_idf_SE
57    Q0   CACM-3002   35  23.003720   Tf_idf_SE
57    Q0   CACM-1680   36  22.844339   Tf_idf_SE
57    Q0   CACM-3014   37  22.773814   Tf_idf_SE
57    Q0   CACM-1194   38  22.768771   Tf_idf_SE
57    Q0   CACM-1677   39  22.634065   Tf_idf_SE
57    Q0   CACM-2716   40  22.630899   Tf_idf_SE
